ID,Name,Keywords,CodeString,MasterID,SpearmanCorrelation,CorrectedPvalue
1,length,"misc,raw,lengthdep",ST_length,1,NaN,1
543,seasonality_test,"periodicity",DT_IsSeasonal,270,NaN,1
551,StatAvl1000,"stationarity,StatAv",StatAvl1000,278,NaN,1
567,SY_SlidingWindow_m_sampen2_10,"stationarity",SY_SlidingWindow_m_sampen2_10,294,NaN,1
928,DN_Fit_mle_geometric,"distribution,fit",DN_Fit_mle_geometric,569,NaN,1
936,DN_FitKernelSmooth_ncross_005,"distribution,ksdensity,raw,spreaddep",DN_FitKernelSmoothraw.numcross_005,570,NaN,1
937,DN_FitKernelSmooth_ncross_01,"distribution,ksdensity,raw,spreaddep",DN_FitKernelSmoothraw.numcross_010,570,NaN,1
938,DN_FitKernelSmooth_ncross_02,"distribution,ksdensity,raw,spreaddep",DN_FitKernelSmoothraw.numcross_020,570,NaN,1
939,DN_FitKernelSmooth_ncross_03,"distribution,ksdensity,raw,spreaddep",DN_FitKernelSmoothraw.numcross_030,570,NaN,1
983,HT_DistributionTest_chi2rayl5,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2rayl5,603,NaN,1
984,HT_DistributionTest_chi2rayl10,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2rayl10,604,NaN,1
985,HT_DistributionTest_chi2rayl25,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2rayl25,605,NaN,1
986,HT_DistributionTest_chi2rayl50,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2rayl50,606,NaN,1
987,HT_DistributionTest_chi2rayl100,"hypothesistest,distribution,raw,posOnly",HT_DistributionTest_chi2rayl100,607,NaN,1
988,HT_DistributionTest_chi2exp5,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2exp5,608,NaN,1
989,HT_DistributionTest_chi2exp10,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2exp10,609,NaN,1
990,HT_DistributionTest_chi2exp25,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2exp25,610,NaN,1
991,HT_DistributionTest_chi2exp50,"hypothesistest,distribution,raw,posOnly",HT_DistributionTest_chi2exp50,611,NaN,1
992,HT_DistributionTest_chi2exp100,"hypothesistest,distribution,raw,posOnly",HT_DistributionTest_chi2exp100,612,NaN,1
993,HT_DistributionTest_chi2gam5,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2gam5,613,NaN,1
994,HT_DistributionTest_chi2gam10,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2gam10,614,NaN,1
995,HT_DistributionTest_chi2gam25,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2gam25,615,NaN,1
996,HT_DistributionTest_chi2gam50,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2gam50,616,NaN,1
997,HT_DistributionTest_chi2gam100,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2gam100,617,NaN,1
998,HT_DistributionTest_chi2logn5,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2logn5,618,NaN,1
999,HT_DistributionTest_chi2logn10,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2logn10,619,NaN,1
1000,HT_DistributionTest_chi2logn25,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2logn25,620,NaN,1
1001,HT_DistributionTest_chi2logn50,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2logn50,621,NaN,1
1002,HT_DistributionTest_chi2logn100,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2logn100,622,NaN,1
1003,HT_DistributionTest_chi2wbl5,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2wbl5,623,NaN,1
1004,HT_DistributionTest_chi2wbl10,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2wbl10,624,NaN,1
1005,HT_DistributionTest_chi2wbl25,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2wbl25,625,NaN,1
1006,HT_DistributionTest_chi2wbl50,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2wbl50,626,NaN,1
1007,HT_DistributionTest_chi2wbl100,"hypothesistest,distribution,raw,locdep,posOnly",HT_DistributionTest_chi2wbl100,627,NaN,1
1012,HT_DistributionTest_ks_rayl,"hypothesistest,distribution,ks,raw,locdep,posOnly",HT_DistributionTest_ks_rayl,632,NaN,1
1013,HT_DistributionTest_ks_exp,"hypothesistest,distribution,ks,raw,locdep,posOnly",HT_DistributionTest_ks_exp,633,NaN,1
1014,HT_DistributionTest_ks_gam,"hypothesistest,distribution,ks,raw,locdep,posOnly",HT_DistributionTest_ks_gam,634,NaN,1
1015,HT_DistributionTest_ks_logn,"hypothesistest,distribution,ks,raw,locdep,posOnly",HT_DistributionTest_ks_logn,635,NaN,1
1016,HT_DistributionTest_ks_wbl,"hypothesistest,distribution,ks,raw,locdep,posOnly",HT_DistributionTest_ks_wbl,636,NaN,1
1019,HT_DistributionTest_lillie_exp,"hypothesistest,distribution,lillie,raw,locdep,posOnly",HT_DistributionTest_lillie_exp,639,NaN,1
1169,CO_AddNoise_ac_quantiles_10_firstUnder25,"correlation,AMI,entropy",CO_AddNoise_ac_quantiles_10.firstUnder25,722,NaN,1
1245,CO_AddNoise_ac_std1_10_firstUnder25,"correlation,AMI,entropy",CO_AddNoise_ac_std1_10.firstUnder25,726,NaN,1
1678,DN_RemovePoints_absclose_01_ac1diff,"correlation,outliers",DN_RemovePoints_absclose_01.ac1diff,752,NaN,1
1691,DN_RemovePoints_absclose_05_ac1diff,"correlation,outliers",DN_RemovePoints_absclose_05.ac1diff,753,NaN,1
1704,DN_RemovePoints_absclose_08_ac1diff,"correlation,outliers",DN_RemovePoints_absclose_08.ac1diff,754,NaN,1
1717,DN_RemovePoints_absfar_01_ac1diff,"correlation,outliers",DN_RemovePoints_absfar_01.ac1diff,755,NaN,1
1730,DN_RemovePoints_absfar_08_ac1diff,"correlation,outliers",DN_RemovePoints_absfar_08.ac1diff,756,NaN,1
1743,DN_RemovePoints_min_01_ac1diff,"correlation,outliers",DN_RemovePoints_min_01.ac1diff,757,NaN,1
1755,DN_RemovePoints_min_05_ac1diff,"correlation,outliers",DN_RemovePoints_min_05.ac1diff,758,NaN,1
1767,DN_RemovePoints_min_08_ac1diff,"correlation,outliers",DN_RemovePoints_min_08.ac1diff,759,NaN,1
1779,DN_RemovePoints_max_01_ac1diff,"correlation,outliers",DN_RemovePoints_max_01.ac1diff,760,NaN,1
1791,DN_RemovePoints_max_08_ac1diff,"correlation,outliers",DN_RemovePoints_max_08.ac1diff,761,NaN,1
1801,CO_TranslateShape_circle_15_pts_max,"correlation",CO_TranslateShape_circle_15_pts.max,762,NaN,1
1815,CO_TranslateShape_circle_25_pts_max,"correlation",CO_TranslateShape_circle_25_pts.max,763,NaN,1
1831,CO_TranslateShape_circle_35_pts_max,"correlation",CO_TranslateShape_circle_35_pts.max,764,NaN,1
1849,CO_TranslateShape_rectangle_2_pts_max,"correlation",CO_TranslateShape_rectangle_2_pts.max,765,NaN,1
2354,FC_Surprise_T2_100_5_q_500_lq,"information,symbolic",FC_Surprise_T2_100_5_q_500.lq,787,NaN,1
2458,FC_Surprise_T2_100_5_udq_500_lq,"information,symbolic",FC_Surprise_T2_100_5_udq_500.lq,800,NaN,1
2504,FC_Surprise_T1_10_tau_m2quad_500_lq,"information,symbolic",FC_Surprise_T1_10_tau_m2quad_500.lq,806,NaN,1
2797,EN_mse_1-10_2_015_diff1_maxScale,"entropy,sampen,controlen,mse",EN_mse_1-10_2_015_diff1.maxScale,828,NaN,1
3190,DN_SimpleFit_power1_r2_hsqrt,"distribution,gof,raw,posOnly",DN_SimpleFit_power1_hsqrt.r2,853,NaN,1
3191,DN_SimpleFit_power1_rmse_hsqrt,"distribution,gof,raw,posOnly",DN_SimpleFit_power1_hsqrt.rmse,853,NaN,1
3192,DN_SimpleFit_power1_AC1_hsqrt,"distribution,gof,raw,posOnly",DN_SimpleFit_power1_hsqrt.resAC1,853,NaN,1
3193,DN_SimpleFit_power1_AC2_hsqrt,"distribution,gof,raw,posOnly",DN_SimpleFit_power1_hsqrt.resAC2,853,NaN,1
3194,DN_SimpleFit_power1_resruns_hsqrt,"distribution,gof,raw,posOnly",DN_SimpleFit_power1_hsqrt.resruns,853,NaN,1
3215,DN_CompareKSFit_rayleigh_adiff,"distribution,ksdensity,raw,locdep,posOnly",DN_CompareKSFit_rayleigh.adiff,858,NaN,1
3216,DN_CompareKSFit_rayleigh_psy,"distribution,ksdensity,raw,locdep,posOnly",DN_CompareKSFit_rayleigh.peaksepy,858,NaN,1
3217,DN_CompareKSFit_rayleigh_psx,"distribution,ksdensity,raw,locdep,posOnly",DN_CompareKSFit_rayleigh.peaksepx,858,NaN,1
