ID,Name,Keywords,CodeString,MasterID,SpearmanCorrelation,CorrectedPvalue
7445,MF_compare_GARCH_ar_1_3_1_3_meanAIC,"model",MF_compare_GARCH_ar_1_3_1_3.meanAIC,1034,0.040157566473356,1
5672,SD_TSTL_surrogates_mi_100_3_trev_ksphereonmax,"nonlinear,tstool,correlation,surrogate",SD_TSTL_surrogates_mi_100_3_trev.ksphereonmax,957,-0.039719881825145,1
6036,PP_Compare_medianf10_kscn_peaksepy,"preprocessing,raw",PP_Compare_medianf10.kscn_peaksepy,969,-0.039719881825145,1
6705,MS_shannon_2t10_2_medent,"entropy,mex",MS_shannon_2t10_2.medent,685,-0.039719881825145,1
3946,SC_FluctAnal_2_endptdiff_50_logi_r1_ssr,"scaling",SC_FluctAnal_2_endptdiff_50_logi.r1_ssr,893,0.039719881825145,1
1338,SB_TransitionMatrix_21_maxeig,"symbolic,transitionmat",SB_TransitionMatrix_21.maxeig,731,0.0395010395010395,1
1609,PH_ForcePotential_dblwell_1_05_02_pcrossup,"dynamicalSystem",PH_ForcePotential_dblwell_1_05_02.pcrossup,746,0.0395010395010395,1
1666,PH_ForcePotential_sine_10_004_10_median,"dynamicalSystem",PH_ForcePotential_sine_10_004_10.median,751,0.0395010395010395,1
2888,EN_Randomize_dyndist_xcn1fexprmse,"entropy,slow",EN_Randomize_dyndist.xcn1fexprmse,831,-0.039282197176934,1
5480,NL_TSTL_LargestLyap_n1_01_001_3_mi_fnnmar_p2,"nonlinear,tstool",NL_TSTL_LargestLyap_n1_01_001_3_mi_fnnmar.p2,941,-0.039282197176934,1
6427,WL_cwt_sym2_32_stat_2_s_s,"wavelet,cwt",WL_cwt_sym2_32.stat_2_s_s,987,-0.039282197176934,1
1360,SB_TransitionMatrix_41_maxeig,"symbolic,transitionmat",SB_TransitionMatrix_41.maxeig,733,0.039282197176934,1
6161,PP_Compare_rav10_kscn_peaksepx,"preprocessing,raw",PP_Compare_rav10.kscn_peaksepx,973,0.039282197176934,1
6198,PP_Compare_resample_1_2_olbt_m5,"preprocessing,raw",PP_Compare_resample_1_2.olbt_m5,974,0.039282197176934,1
837,SY_LocalGlobal_kurtosis_unicg10,"stationarity,distribution",SY_LocalGlobal_unicg10.kurtosis,504,-0.0390633548528285,1
1883,CO_StickAngles_y_statav2_all_m,"correlation,stationarity",CO_StickAngles_y.statav2_all_m,766,-0.0390633548528285,1
3555,SB_MotifTwo_mean_h,"symbolic,motifs",SB_MotifTwo_mean.h,879,-0.0390633548528285,1
5435,NL_TSTL_PoincareSection_max_1_stdx,"nonlinear,tstool",NL_TSTL_PoincareSection_max_1.stdx,940,-0.0388445125287231,1
3310,DN_OutlierInclude_n_001_nfexprmse,"distribution,outliers",DN_OutlierInclude_n_001.nfexprmse,865,0.0386256702046176,1
5771,PP_Compare_sin2_statav10,"preprocessing,raw,stationarity",PP_Compare_sin2.statav10,961,0.0386256702046176,1
1127,CO_trev_2_absnum,"correlation,nonlinear",CO_trev_2.absnum,709,-0.0384068278805121,1
1727,DN_RemovePoints_absfar_01_kurtosisrat,"correlation,outliers,distribution",DN_RemovePoints_absfar_01.kurtosisrat,755,-0.0384068278805121,1
2347,FC_Surprise_T2_100_4_q_500_uq,"information,symbolic",FC_Surprise_T2_100_4_q_500.uq,786,-0.0384068278805121,1
4712,NL_TISEAN_fnn_ac_10_005_nHood2_2,"nonlinear,dimension,tisean",NL_TISEAN_fnn_ac_10_005.nHood2_2,914,-0.0384068278805121,1
719,SY_SlidingWindow_ac1_s2_2,"stationarity",SY_SlidingWindow_ac1_s2_2,446,0.0384068278805121,1
141,AC_nl_1234567,"correlation,nonlinearautocorr",AC_nl_1234567,145,-0.0381879855564066,1
1107,CO_tc3_3_absnum,"correlation,nonlinear",CO_tc3_3.absnum,705,-0.0381879855564066,1
4502,SP_Summaries_welch_rect_statav3_m,"FourierSpectrum",SP_Summaries_welch_rect.statav3_m,909,-0.0381879855564066,1
4626,SP_Summaries_fft_statav3_m,"FourierSpectrum",SP_Summaries_fft.statav3_m,910,-0.0381879855564066,1
2873,EN_Randomize_statdist_statav5fexpc,"entropy,slow,stationarity",EN_Randomize_statdist.statav5fexpc,830,0.0381879855564066,1
3203,DN_CompareKSFit_ev_olapint,"distribution,ksdensity,raw,locdep",DN_CompareKSFit_ev.olapint,855,0.0381879855564066,1
3779,SB_MotifThree_diffquant_aabb,"symbolic,motifs",SB_MotifThree_diffquant.aabb,882,-0.0379691432323011,1
6396,WL_cwt_db3_32_maxonmed_ssc,"wavelet,cwt",WL_cwt_db3_32.maxonmed_ssc,986,-0.0379691432323011,1
1052,DK_TheilerQ,"misc",DK_TheilerQ,655,-0.0377503009081957,1
3938,SC_FluctAnal_2_endptdiff_50_logi_prop_r1,"scaling",SC_FluctAnal_2_endptdiff_50_logi.prop_r1,893,-0.0377503009081957,1
4895,NL_TISEAN_d2_1_10_0_h2meangoodness,"nonlinear,tisean,dimension",NL_TISEAN_d2_1_10_0.h2meangoodness,919,-0.0377503009081957,1
5809,PP_Compare_spline24_swss5_1,"preprocessing,raw,stationarity",PP_Compare_spline24.swss5_1,962,-0.0377503009081957,1
3343,ST_LocalExtrema_l50_stdmax,"distribution,stationarity",ST_LocalExtrema_l50.stdmax,866,0.0377503009081957,1
4521,SP_Summaries_welch_rect_logarea_5_4,"FourierSpectrum",SP_Summaries_welch_rect.logarea_5_4,909,0.0377503009081957,1
4645,SP_Summaries_fft_logarea_5_4,"FourierSpectrum",SP_Summaries_fft.logarea_5_4,910,0.0377503009081957,1
5210,NL_TSTL_dimensions_50_ac_fnnmar_scr_co_m1_meanabsres,"nonlinear,tstool,scaling,dimension",NL_TSTL_dimensions_50_ac_fnnmar.scr_co_m1_meanabsres,929,0.0377503009081957,1
7413,MF_GARCHfit_ar_P1_Q2_stde_mms,"model",MF_GARCHfit_ar_P1_Q2.stde_mms,1033,-0.0375314585840902,1
3923,SC_FluctAnal_2_nothing_50_logi_r1_resac1,"scaling",SC_FluctAnal_2_nothing_50_logi.r1_resac1,892,0.0375314585840902,1
7498,SY_KPSStest_0_pValue,"stationarity,hypothesistest,pvalue",SY_KPSStest_0.pValue,1041,0.0374797429881912,1
7504,SY_KPSStest_0_10_minpValue,"stationarity,hypothesistest,pvalue",SY_KPSStest_0_10.minpValue,1044,0.0374797429881912,1
907,EN_DistributionEntropy_hist_auto_01,"entropy",EN_DistributionEntropy_hist_auto_01,548,0.0373126162599847,1
3663,SB_MotifThree_quantile_aacc,"symbolic,motifs",SB_MotifThree_quantile.aacc,881,0.0373126162599847,1
5228,NL_TSTL_dimensions_50_ac_fnnmar_scr_co_m3_meanabsres,"nonlinear,tstool,scaling,dimension",NL_TSTL_dimensions_50_ac_fnnmar.scr_co_m3_meanabsres,929,0.0373126162599847,1
2791,EN_mse_1-10_2_015_diff1_sampen_s6,"entropy,sampen,controlen,mse",EN_mse_1-10_2_015_diff1.sampen_s6,828,-0.0370937739358792,1
7031,MF_CompareTestSets_y_ss_2_uniform_25_01_1_stdrats_iqr,"model,prediction,stationarity",MF_CompareTestSets_y_ss_2_uniform_25_01_1.stdrats_iqr,1020,-0.0370937739358792,1
46,DN_Withinp_10,"distribution,spread",DN_Withinp_10,43,0.0370937739358792,1
1117,CO_tc3_mi_absnum,"correlation,nonlinear",CO_tc3_mi.absnum,707,0.0370937739358792,1
2129,SY_SpreadRandomLocal_ac5_100_stdsampen1_015,"stationarity",SY_SpreadRandomLocal_ac5_100.stdsampen1_015,477,0.0370937739358792,1
3387,ST_LocalExtrema_n25_stdmax,"distribution,stationarity",ST_LocalExtrema_n25.stdmax,868,0.0370937739358792,1
4555,SP_Summaries_fft_logstd,"FourierSpectrum",SP_Summaries_fft.logstd,910,0.0370937739358792,1
6672,NL_MS_nlpe_3_ac_minfpe,"nonlinear,prediction,model",NL_MS_nlpe_3_ac.minfpe,1002,0.0370937739358792,1
