0.28678,-0.27602,0.79789,-0.19641,1.5311
-0.42285,-0.10624,0.59964,-0.30761,1.4292
0.14808,0.25867,-0.011029,0.28727,0.75783
-0.05799,0.57264,0.52936,-0.31623,1.7955
-0.23574,-0.31591,0.20882,-0.33265,0.8969
-0.17201,0.050691,-0.47094,-0.28024,0.69685
-0.23414,-0.38294,0.06064,-0.21205,0.47037
-1.665,2.2075,-0.32471,-0.74346,1.7481
0.12933,-0.5061,1.2432,-0.30425,0.93755
-0.066697,-0.48748,1.0811,-0.24915,1.2131
-0.37101,-0.46557,1.24,-0.31643,0.92842
-0.29722,-0.42628,1.3501,-0.2764,0.84504
0.50369,-0.27033,1.138,-0.23632,1.281
-0.31223,-0.52103,1.1494,-0.27972,1.0343
0.13175,-0.39953,0.90292,-0.26052,1.0083
0.51664,-0.089733,1.1207,-0.2266,2.0632
0.27789,-0.1637,0.6448,-0.1568,1.7937
0.3686,-0.35106,0.86672,-0.25531,1.445
0.1171,-0.49864,0.89431,-0.20689,1.7795
0.49866,-0.099742,1.1157,-0.2195,2.1587
1.2596,1.281,0.70891,-0.20898,2.4849
0.60806,-0.15026,0.084598,-0.10166,1.7705
0.023789,-0.28038,0.29522,-0.090906,1.3842
-0.25416,-0.14154,0.88726,-0.30876,0.78261
-0.068888,0.36464,0.00022041,-0.16544,1.1737
-0.10178,0.22814,0.64686,-0.16238,1.0059
0.22951,0.21283,1.11,-0.18371,1.7469
0.44814,0.85998,1.191,-0.25082,1.8216
0.27439,0.0070272,0.57386,-0.0096826,2.2924
0.62114,0.26937,-0.091476,-0.15226,1.9791
0.28833,-0.0021606,-0.29585,-0.26707,0.74713
-0.041736,0.20555,-0.14122,-0.15843,1.4038
-0.35899,-0.37296,0.70507,-0.33678,1.1491
-0.44169,-0.065419,0.598,-0.39395,1.2601
0.85978,-0.25374,0.89079,-0.29605,1.0757
0.5657,-0.32794,0.80852,-0.28849,1.1903
0.93313,-0.19663,0.54443,-0.21108,1.1798
-0.17217,-0.42706,0.0084959,-0.12404,1.0157
2.9581,1.1374,-0.66417,-0.64518,0.70929
-0.25619,-0.49833,-0.48108,-0.38382,0.085176
3.9982,1.7395,-0.53373,0.044736,3.026
0.89176,-0.9131,-0.56701,-0.31758,1.2696
-0.080248,-0.24122,-0.47825,-0.14352,0.6034
-0.28879,0.97859,-0.66946,-0.043639,0.17939
-0.082408,0.59746,-0.71121,0.79495,-0.23034
1.098,-0.61873,-0.63147,0.02019,1.2927
0.2143,-0.50936,-0.56073,-0.40947,0.96594
-0.25752,-0.38918,-0.22934,0.0036371,0.57708
0.35581,-0.82863,-0.4989,-0.29338,0.056627
0.30805,-0.22764,-0.4617,-0.63516,0.0094887
0.60252,-0.10259,-0.40653,-0.75779,-0.23879
1.5623,-0.39676,-0.3881,-0.41251,-0.42894
2.4186,-0.39342,-0.62047,-0.75541,-0.43476
0.2335,0.63727,0.48975,0.10104,1.7924
0.3969,-0.76799,-0.3375,-0.057099,0.49317
0.35813,0.045037,-0.0096916,0.21001,0.4871
0.79064,-0.60986,0.43186,0.021316,1.7786
0.71535,-0.5188,0.63926,-0.037846,1.8133
0.72505,-0.66593,-0.42383,-0.51366,0.68457
0.18443,-0.20616,-0.32993,-0.046786,1.0157
0.27469,-0.22295,-0.59364,0.85534,0.24344
